Filename,PixelWidth_um,PixelHeight_um
10_20_1.tif,0.535715371495046,0.535715371495046
10_20_2.tif,0.535715371495046,0.535715371495046
10_20_3.tif,0.535715371495046,0.535715371495046
10_20_4.tif,0.535715371495046,0.535715371495046
10_20_5.tif,0.535715371495046,0.535715371495046
11_20_1.tif,0.535715371495046,0.535715371495046
11_20_2.tif,0.535715371495046,0.535715371495046
11_20_3.tif,0.535715371495046,0.535715371495046
11_20_4.tif,0.535715371495046,0.535715371495046
11_20_5.tif,0.535715371495046,0.535715371495046
12_20_1.tif,0.535715371495046,0.535715371495046
12_20_2.tif,0.535715371495046,0.535715371495046
12_20_3.tif,0.535715371495046,0.535715371495046
12_20_4.tif,0.535715371495046,0.535715371495046
12_20_5.tif,0.535715371495046,0.535715371495046
13_20_1.tif,0.535715371495046,0.535715371495046
13_20_2.tif,0.535715371495046,0.535715371495046
13_20_3.tif,0.535715371495046,0.535715371495046
13_20_4.tif,0.535715371495046,0.535715371495046
13_20_5.tif,0.535715371495046,0.535715371495046
14_20_1.tif,0.535715371495046,0.535715371495046
14_20_2.tif,0.535715371495046,0.535715371495046
14_20_3.tif,0.535715371495046,0.535715371495046
14_20_4.tif,0.535715371495046,0.535715371495046
14_20_5.tif,0.535715371495046,0.535715371495046
15_20_1.tif,0.535715371495046,0.535715371495046
15_20_2.tif,0.535715371495046,0.535715371495046
15_20_3.tif,0.535715371495046,0.535715371495046
15_20_4.tif,0.535715371495046,0.535715371495046
15_20_5.tif,0.535715371495046,0.535715371495046
16_20_1.tif,0.535715371495046,0.535715371495046
16_20_2.tif,0.535715371495046,0.535715371495046
16_20_3.tif,0.535715371495046,0.535715371495046
16_20_4.tif,0.535715371495046,0.535715371495046
16_20_5.tif,0.535715371495046,0.535715371495046
17_20_1.tif,0.535715371495046,0.535715371495046
17_20_2.tif,0.535715371495046,0.535715371495046
17_20_3.tif,0.535715371495046,0.535715371495046
17_20_4.tif,0.535715371495046,0.535715371495046
17_20_5.tif,0.535715371495046,0.535715371495046
18_20_1.tif,0.535715371495046,0.535715371495046
18_20_2.tif,0.535715371495046,0.535715371495046
18_20_3.tif,0.535715371495046,0.535715371495046
18_20_4.tif,0.535715371495046,0.535715371495046
18_20_5.tif,0.535715371495046,0.535715371495046
19_20_1.tif,0.535715371495046,0.535715371495046
19_20_2.tif,0.535715371495046,0.535715371495046
19_20_3.tif,0.535715371495046,0.535715371495046
19_20_4.tif,0.535715371495046,0.535715371495046
19_20_5.tif,0.535715371495046,0.535715371495046
1_20_1.tif,0.535715371495046,0.535715371495046
1_20_2.tif,0.535715371495046,0.535715371495046
1_20_3.tif,0.535715371495046,0.535715371495046
1_20_4.tif,0.535715371495046,0.535715371495046
1_20_5.tif,0.535715371495046,0.535715371495046
20_20_1.tif,0.535715371495046,0.535715371495046
20_20_2.tif,0.535715371495046,0.535715371495046
20_20_3.tif,0.535715371495046,0.535715371495046
20_20_4.tif,0.535715371495046,0.535715371495046
20_20_5.tif,0.535715371495046,0.535715371495046
21_20_1.tif,0.535715371495046,0.535715371495046
21_20_2.tif,0.535715371495046,0.535715371495046
