Sample,Condition,CellLine,AspectRatio
1,Random,Bone Clone,2.34226407478475
1,Random,Bone Clone,1.47115753317535
1,Random,Bone Clone,1.16618634048587
1,Random,Bone Clone,1.75920441010513
1,Random,Bone Clone,1.25800987117997
1,Random,Bone Clone,1.56124203230069
1,Random,Bone Clone,1.97019625939789
1,Random,Bone Clone,2.04473092725708
1,Random,Bone Clone,1.47030702655906
1,Random,Bone Clone,1.10230107664571
1,Random,Bone Clone,1.75618600925277
1,Random,Bone Clone,1.39559865740371
1,Random,Bone Clone,1.68031003531181
1,Random,Bone Clone,1.17058296038769
1,Random,Bone Clone,1.60146277527722
1,Random,Bone Clone,1.34750257482859
1,Random,Bone Clone,2.39719300988426
1,Random,Bone Clone,1.12158161813738
1,Random,Bone Clone,1.4891723837189
1,Random,Bone Clone,1.32422781217478
1,Random,Bone Clone,1.75016446630357
1,Random,Bone Clone,2.40160720233093
1,Random,Bone Clone,1.57815093114217
1,Random,Bone Clone,1.39687254883964
1,Random,Bone Clone,1.5481819846608
1,Random,Bone Clone,1.61257289533169
1,Random,Bone Clone,1.46955169411814
1,Random,Bone Clone,2.53612257824891
1,Random,Bone Clone,1.38019147969543
1,Random,Bone Clone,1.72741511145695
1,Random,Bone Clone,2.25405713344581
1,Random,Bone Clone,1.58647507961677
1,Random,Bone Clone,1.10152581407997
1,Random,Bone Clone,1.7313323188201
1,Random,Bone Clone,1.31556255144675
1,Random,Bone Clone,1.15889744734139
1,Random,Bone Clone,2.23030486237582
1,Random,Bone Clone,2.22081133138946
1,Random,Bone Clone,1.15410377457186
1,Random,Bone Clone,2.06996052303529
1,Random,Bone Clone,1.6682371288597
1,Random,Bone Clone,2.35366927403824
1,Random,Bone Clone,1.92169122115931
1,Random,Bone Clone,1.6341016364284
1,Random,Bone Clone,1.57289609559306
1,Random,Bone Clone,1.26348685734672
1,Random,Bone Clone,1.56822839129902
1,Random,Bone Clone,1.17707523799537
1,Random,Bone Clone,1.49942831005288
1,Random,Bone Clone,1.80241726870715
1,Random,Bone Clone,1.36641873164456
1,Random,Bone Clone,1.51296257998842
1,Random,Bone Clone,1.64027916885941
1,Random,Bone Clone,1.35381311215512
1,Random,Bone Clone,1.19470149499049
1,Random,Bone Clone,1.27327821178631
1,Random,Bone Clone,1.79137636663291
1,Random,Bone Clone,1.52671505056425
1,Random,Bone Clone,1.80976296621299
1,Random,Bone Clone,1.22094217435342
1,Random,Bone Clone,1.77428945602312
1,Random,Bone Clone,2.32732547881771
1,Random,Bone Clone,1.5190772486721
1,Random,Bone Clone,2.29228364947841
1,Random,Bone Clone,2.48084841274453
1,Random,Bone Clone,2.2237220576484
1,Random,Bone Clone,1.34794204962168
1,Random,Bone Clone,2.77321939621011
1,Random,Bone Clone,1.65794072293951
1,Random,Bone Clone,2.75132308164986
1,Random,Bone Clone,1.84774022227151
1,Random,Bone Clone,1.64178961021751
1,Random,Bone Clone,1.68994244087657
1,Random,Bone Clone,2.27534493993574
1,Random,Bone Clone,1.65339156341296
1,Random,Bone Clone,1.32415670025483
1,Random,Bone Clone,1.89854577274737
1,Random,Bone Clone,1.57089699231455
1,Random,Bone Clone,1.30254568578471
1,Random,Bone Clone,2.41268383475102
1,Random,Bone Clone,1.28035764367376
1,Random,Bone Clone,1.36130315617242
1,Random,Bone Clone,1.35301511991091
1,Random,Bone Clone,1.53614497470844
1,Random,Bone Clone,1.6087590190063
1,Random,Bone Clone,2.2965499816951
1,Random,Bone Clone,2.26194471991551
1,Random,Bone Clone,1.18426586957738
1,Random,Bone Clone,2.77165554818805
1,Random,Bone Clone,3.19641023588898
1,Random,Bone Clone,2.07328037934183
1,Random,Bone Clone,1.25139725477748
1,Random,Bone Clone,1.48333908088566
1,Random,Bone Clone,1.80969296237057
1,Random,Bone Clone,1.68844172997503
1,Random,Bone Clone,1.1114645582291
1,Random,Bone Clone,1.17799889531644
1,Random,Bone Clone,1.15928085451905
1,Random,Bone Clone,1.87984892525265
1,Random,Bone Clone,1.87378416045348
1,Random,Bone Clone,1.47975832148166
1,Random,Bone Clone,1.86473689541772
1,Random,Bone Clone,1.38373603144239
1,Random,Bone Clone,1.51632368091948
1,Random,Bone Clone,2.25409274190728
1,Random,Bone Clone,1.2278938163489
1,Random,Bone Clone,2.08730355488165
1,Random,Bone Clone,1.4172285115651
1,Random,Bone Clone,1.1695667563863
1,Random,Bone Clone,1.26608704390626
1,Random,Bone Clone,1.26398319515021
1,Random,Bone Clone,1.11938857228663
1,Random,Bone Clone,1.20253139647561
1,Random,Bone Clone,2.02159976395808
1,Random,Bone Clone,2.20664139891406
1,Random,Bone Clone,2.29537787992082
1,Random,Bone Clone,1.24023407418452
1,Random,Bone Clone,1.18722620874787
1,Random,Bone Clone,1.66269121161659
1,Random,Bone Clone,1.3124957282311
1,Random,Bone Clone,1.35867250375276
1,Random,Bone Clone,1.56039063508475
1,Random,Bone Clone,1.18736243190717
1,Random,Bone Clone,1.18023087235518
1,Random,Bone Clone,1.31279913586724
1,Random,Bone Clone,1.35488728839452
1,Random,Bone Clone,1.40666273060773
