Class,Number,CentroidX,CentroidY,Area,ActualArea,AspectRatio,MajorAxisLength,MinorAxisLength
Alive,1,370.146242383209,28.4400812457685,1477,423.885691930405,2.445982159456,68.2440983758921,27.9004890170867
Alive,2,425.840384615385,8.48653846153846,520,149.235314694523,2.04011725166573,38.4474162263063,18.845689479325
Alive,3,550.699690402477,26.078431372549,969,278.094269113448,2.45440259993156,57.0866583335029,23.2588811367356
Alive,4,1203.06369426752,49.2145491116326,2983,856.094122564928,3.91945199574513,122.470875227751,31.2469384395324
Alive,5,593.511520737327,25.3732718894009,651,186.831134357951,1.33412128425797,33.5468525879659,25.1452795062966
Alive,6,414.174740484429,50.0865051903114,578,165.880792102758,2.63096756286906,45.3938777692152,17.2536820331276
Alive,7,308.094650205761,47.1275720164609,486,139.47762104142,1.26615258720793,28.2027965192125,22.274405789751
Alive,8,748.084117647059,58.3458823529412,1700,487.884682655172,1.36373990216798,54.6994754461619,40.1099031855009
Alive,9,661.867528271405,59.6825525040388,1238,355.294845368884,1.50466012812521,54.4018684206876,36.1555858388245
Alive,10,1039.62409513961,84.2605997931748,1934,555.040574267707,1.90789643420722,78.7068388770443,41.2532029862244
Dead,11,1263.15271493213,58.079185520362,884,253.700034980689,1.13103667832435,35.7437832703464,31.6026738613831
Alive,12,928.639887244538,57.3481324876674,1419,407.24021452217,1.89417740199666,59.1759023972638,31.2409504700491
Dead,13,597.521220159151,63.3461538461538,754,216.391206307059,1.16965392499704,33.6230296652213,28.7461350290484
Alive,14,1084.04024767802,72.640866873065,1292,370.792358817931,1.37708812469744,48.4644208643045,35.1934055599764
Alive,15,340.98727735369,68.9809160305343,786,225.574917980568,2.5522251305869,52.3178717062974,20.4989250671106
Alive,16,629.36855036855,74.963144963145,814,233.610665694888,1.25686525544927,36.2189947108938,28.8169273148912
Alive,17,1119.84668989547,100.08362369338,1722,494.198484430709,2.56156760227046,82.2150396174501,32.0955962843137
Alive,18,368.380995475113,91.1294117647059,1105,317.125043725862,1.60057736314722,47.8193434181709,29.8763087115911
Alive,19,254.881244109331,86.0508953817154,1061,304.497440174787,1.22890867781284,41.1383268619032,33.4754954575791
Alive,20,953.686627906977,102.145930232558,1720,493.624502451115,2.62226844091663,80.6320386992004,30.7489643093195
Dead,21,667.630188679245,100.350943396226,1855,532.368286073732,1.05467138157989,50.2480661332275,47.6433389687279
Alive,22,118.750294464075,121.775422065175,2547,730.966051013366,2.3768227165238,90.5649121494523,38.1033518065273
Alive,23,309.556179775281,126.580183861083,1958,561.928358022839,2.47686927927118,78.7698602440208,31.8021871009676
Alive,24,1091.60740740741,125.716049382716,1215,348.694052603549,1.26772933125431,44.4648630220383,35.0744136984227
Alive,25,737.352303523035,127.352303523035,738,211.799350470304,1.66185708701941,39.6406128508343,23.8532020355198
Alive,26,234.808539026017,149.950633755837,1499,430.199493705943,3.07268448282119,79.6957986647263,25.9368637132419
Alive,27,1280.44170518747,153.537236774525,1947,558.77145713507,2.17108152202769,74.1179044327408,34.1387016934851
Alive,28,1192.1403785489,142.229495268139,1268,363.904575062799,2.12150870377482,59.3136160719182,27.9582242422013
Alive,29,455.199521149242,164.869513168396,2506,719.199420431683,4.69213451391192,146.449437696553,31.2116878282876
Alive,30,121.468130690948,159.587038028923,1867,535.812177951298,2.31315903914623,88.2161203661482,38.1366429515838
Alive,31,55.8858392999204,179.212012728719,2514,721.49534835006,2.68142327816808,96.0414990564508,35.8173585790847
Dead,32,316.471590909091,154.359848484848,528,151.5312426129,1.09465764686831,27.199271230065,24.8472856402904
Alive,33,1088.06896551724,158.241379310345,667,191.422990194706,1.53305897233511,36.3802577726023,23.7305011934336
Alive,34,1190.31395348837,192.593023255814,1548,444.262052206004,4.96879279481471,101.726713699854,20.4731245396292
Alive,35,85.3792697290931,178.123674911661,849,243.655350337789,1.82708340949452,45.5371686608977,24.9234208051268
Dead,36,396.141732283465,185.654855643045,762,218.687134225436,1.18540741880855,33.9891816494712,28.672995554249
Dead,37,1245.23504273504,194.833333333333,1170,335.779458062677,1.14154818161461,42.4770981599049,37.2100791223942
Alive,38,114.211118051218,206.895690193629,1601,459.472574665253,1.22266276480095,50.4805397363129,41.2873779995508
Alive,39,190.338616714697,199.479827089337,694,199.171746919229,1.72292570254047,40.1066246183655,23.2782090134403
Alive,40,574.896086369771,229.097165991903,1482,425.320646879391,2.20822935030664,66.4177253778786,30.0773673570889
Alive,41,256.138910812944,234.587213891081,1267,363.617584073002,4.3453030197898,85.417134827149,19.6573482765492
Alive,42,1202.69193391642,257.663751214772,3087,885.941185503833,1.57636250668283,93.6867311248166,59.432224965794
Alive,43,70.7833197056419,235.497138184792,1223,350.989980521927,2.49383138947512,63.6955871467809,25.541256484139
Alive,44,539.148055832502,238.778664007976,2006,575.703925533103,2.72954640462137,86.9031651851507,31.8379511841292
Alive,45,135.104140526976,257.075282308657,2391,686.195456605009,1.38897087577773,66.6420032076599,47.9794100580728
Alive,46,991.83854632112,288.630324694668,3357,963.428752749066,3.07708967295018,118.253237271954,38.4302213586704
Alive,47,903.717985611511,261.292086330935,695,199.458737909026,1.75547331465966,39.6586682195682,22.5914389517547
Alive,48,344.173220507715,284.177202588352,2009,576.564898502494,1.26295265863747,59.1237277507207,46.8138907237473
Alive,49,750.619839802834,268.758471965496,1623,465.786376440791,1.88908996344352,63.5082517919803,33.6184369304543
Alive,50,449.523255813953,278.190891472868,1032,296.174701470669,1.31665698474892,44.4641128158742,33.7704605914145
Alive,51,562.085805084746,282.397245762712,1888,541.838988737038,1.23787813166081,55.3050087843841,44.6772645625332
Alive,52,874.440390544707,302.30318602261,1946,558.484466145273,2.51289445605422,83.2253213103722,33.1193063480484
Alive,53,664.08066759388,297.929068150209,719,206.346521664158,6.4730293354157,79.6204581518889,12.3003394587236
Alive,54,592.865724381625,296.351590106007,566,162.436900225193,1.95083146023853,38.0116180500205,19.4848293277845
Alive,55,1131.68227121715,306.355481727575,3311,950.227167218397,3.92250418717006,137.34585111668,35.0148386242438
Dead,56,460.004662004662,304.678321678322,858,246.238269245963,1.16683754090867,35.9119994948737,30.7772061112358
Alive,57,1232.43201626961,335.852411388727,3442,987.822986881824,3.20960525871908,121.818917980255,37.9544860382212
Alive,58,530.403207331042,308.347079037801,873,250.543134092921,1.24981203474639,37.3788067996801,29.9075427028234
Alive,59,610.043689320388,324.459084604716,1442,413.841007287505,1.4477297418511,52.3246041159189,36.14252204905
Alive,60,754.111739130435,338.764347826087,2300,660.079276533468,4.77176517324715,127.963353458837,26.8167750953594
Alive,61,66.3064958828911,362.51967063129,2186,627.362303696592,3.38771910072108,103.575243728383,30.5737402213592
Alive,62,607.244668911336,363.362139917695,2673,767.126915727809,4.00131015097323,121.670631694403,30.4076982547351
Dead,63,336.039938556068,329.597542242704,651,186.831134357951,1.10809300002134,30.4704745894182,27.4981202740487
Dead,64,302.12314709236,371.007981755986,877,251.691098052109,1.14406155862505,35.806359360708,31.2975810530165
Alive,65,576.416932907348,392.309904153355,1878,538.969078839066,3.69492254661208,99.4477037709322,26.9146923964934
Alive,66,479.774647887324,399.851742031134,1349,387.150845236369,1.27206424558273,46.8755197994636,36.8499625409958
Alive,67,923.556654676259,437.715827338129,2224,638.267961308884,1.90625880101056,84.0597446846213,44.096711653244
Alive,68,14.5125,410.34375,800,229.592791837728,1.24504931505443,38.5320724491448,30.9482299080339
Alive,69,555.142292490119,407.290019762846,2024,580.869763349452,6.97028361311714,152.923505463342,21.9393519620293
Alive,70,793.47581552306,412.964004499438,889,255.134989929675,1.44567083530486,40.9141266036228,28.3011357803278
Alive,71,741.873651079137,425.215377697842,2224,638.267961308884,1.74653464489617,71.4839339194688,40.9290099846365
Alive,72,398.900938477581,468.69099756691,2877,825.673077646429,2.47546629727453,100.111736304584,40.4415670755876
Dead,73,1223.38197969543,443.761421319797,788,226.148899960162,1.1161653204112,33.496110394328,30.0099902602134
Alive,74,875.385185185185,462.921693121693,945,271.206485358316,3.04774156570471,63.9633314371948,20.9871244192599
Dead,75,187.818770226537,446.488673139159,309,88.6802158473224,1.12350557082542,21.082729023714,18.7651308290575
Alive,76,708.644111349036,480.846680942184,2335,670.123961176368,2.67874971325842,96.0059810701042,35.8398474463384
Alive,77,516.189809630459,468.284994400896,1786,512.565907777728,5.2971917399331,122.705105376039,23.1641804564146
Alive,78,879.939512195122,503.775609756098,1025,294.165764542089,2.91872792479968,62.3234407468289,21.3529463357248
Alive,79,958.171933784801,524.908577878104,2658,762.822050880851,2.50270512180309,100.117464169322,40.0036997156068
Alive,80,691.296411856474,518.781591263651,641,183.96122445998,2.40729666224311,46.4117308148123,19.2796058511401
Alive,81,694.178756476684,541.463730569948,1158,332.335566185111,2.82214248037559,68.0645699814125,24.1180487713554
Alive,82,323.568965517241,536.288177339901,406,116.518341857647,1.24583279187625,25.6665688130837,20.6019370981794
Alive,83,917.280429594272,553.983293556086,838,240.49844945002,1.65056388786487,44.3577918417885,26.8743259003253
Alive,84,394.181208053691,569.072276716572,1937,555.901547237099,1.40766642315691,59.2152732216182,42.066268149537
Alive,85,90.155788876277,654.598183881952,3524,1011.35624804519,5.08934566361267,182.236228156903,35.807398475572
Dead,86,214.77034358047,566.632911392405,553,158.706017357829,1.02678512820403,26.9470861313541,26.2441336470152
Alive,87,1129.60644384222,601.003914483589,3321,953.097077116368,2.07535862462936,140.2108115422,67.5597990044925
Alive,88,758.493913043478,600.231652173913,2875,825.099095666835,2.35965629108794,104.989048455965,44.4933649245838
Dead,89,223.81045751634,590.326797385621,459,131.728864316896,1.06666273653053,25.0147159668521,23.4513826256048
Dead,90,511.755898366606,604.110707803993,1102,316.26407075647,1.00837397113779,37.8364375811097,37.5222275307417
Alive,91,856.467312348668,633.365012106538,1652,474.109115144908,3.58251258801968,88.0317805819257,24.5726367790901
Alive,92,666.464065708419,651.737753006747,3409,978.352284218518,1.99680171144827,111.290861289326,55.7345582444475
Alive,93,69.5180207697007,638.867440439829,1637,469.804250297951,2.35415122349322,71.2381768789394,30.260663022842
Dead,94,753.615384615385,628.473372781065,845,242.5073863786,1.02005956805894,33.2697780886716,32.6155247501676
Alive,95,572.871757925072,682.688760806916,694,199.171746919229,2.29290997471063,45.6234868918157,19.8976354915868
Alive,96,859.90118058592,721.582859641452,2287,656.348393666105,2.8795691330158,95.9429462418316,33.3185076690101
Alive,97,253.697347049269,703.510016242555,1847,530.072358155354,1.48925728332412,60.442186416638,40.585456316673
Alive,98,800.571142284569,693.963927855711,499,143.208503908783,2.67277586953776,41.8903190465619,15.6729636495134
Alive,99,827.506666666667,736.573333333333,900,258.291890817444,2.36270815408095,58.7045138290939,24.8462823170511
Alive,100,798.220404984424,729.431464174455,1284,368.496430899553,2.3358888517015,63.3185544946166,27.106835348135
Alive,101,252.491482112436,751.497018739353,2348,673.854844043732,4.56357333004665,133.028508594878,29.1500758230434
Alive,102,755.159942363112,729.004322766571,1388,398.343493838458,1.31071806047077,48.2069562081037,36.7790432297769
Alive,103,582.358778625954,752.406761177754,917,263.170737643996,1.32930874702818,39.6911371351232,29.8584788702076
Alive,104,723.160177427304,762.612617052735,2029,582.304718298437,1.87721673848637,70.3165091222283,37.4578532572247
Alive,105,247.84178187404,777.147465437788,1302,373.662268715902,4.24136033110853,84.8587431476293,20.0074354742339
Alive,106,733.637925338619,807.820944829865,3027,868.721726116003,2.65803601647677,105.860109601697,39.8264391247844
Alive,107,447.856962025316,774.022784810127,790,226.722881939756,1.30799548339812,36.569563441424,27.9584783782417
Alive,108,825.874388254486,768.898858075041,613,175.925476745659,1.56054090194672,35.2062144002869,22.5602637882598
Alive,109,1254.79306930693,791.083828382838,3030,869.582699085395,2.32348981793421,95.4834573197063,41.0948464601405
Alive,110,978.978873239437,802.140845070423,1562,448.279926063164,1.28587757045802,51.5191658323525,40.0653740417929
Alive,111,813.205920880273,847.7393240765,3817,1095.44460805576,2.32073706025225,107.340167777968,46.2526193149606
Alive,112,442.475869809203,843.168911335578,1782,511.417943818539,2.44740618952736,75.0863976952926,30.6799901122229
Alive,113,692.379826086957,874.989217391304,2875,825.099095666835,2.02637149854462,89.6916279193665,44.262183900526
Alive,114,372.191193970647,878.71677905593,2521,723.50428527864,4.13700422424767,118.850654944197,28.728676235715
Alive,115,846.727470141151,875.029315960912,921,264.318701603184,2.05987512073554,50.0141387061454,24.2801799986236
Alive,116,1034.82704995287,900.599905749293,2122,608.994880349573,6.44557756503248,145.690818351561,22.6032216479621
Alive,117,615.25945705385,903.072096128171,2247,644.868754074218,3.04486386640647,102.162819210904,33.5525079915891
Alive,118,430.872888513513,904.39527027027,2368,679.594663839675,3.77820139176805,129.836588123127,34.3646552049913
Dead,119,514.037946428571,897.043526785714,896,257.143926858255,1.11170763806752,35.7059527517359,32.1181140878043
Alive,120,725.20867768595,906.42458677686,968,277.807278123651,1.75455146267543,47.5644451494658,27.1091764256017
Alive,121,411.662313432836,914.486007462687,1072,307.654341062555,3.22426367808069,68.4644663503347,21.2341400040488
Alive,122,1045.81453068592,927.832581227437,2216,635.972033390506,1.40496940813394,68.9957764363366,49.1083834543954
Alive,123,905.408118995971,921.761388286334,3227,926.119924075435,1.81213164727562,88.2576942160626,48.7037982857095
Alive,124,374.391982182628,916.919821826281,898,257.71790883785,1.24976051401283,37.9518102125745,30.3672661978379
Alive,125,850.411764705882,926.844117647059,680,195.153873062069,1.37869859836198,34.9919318894329,25.3804072412974
Dead,126,979.522306855278,930.928182807399,919,263.74471962359,1.18684637788022,37.8764334270611,31.9135097287913
Alive,127,1216.69824561404,944.890350877193,1140,327.169728368762,4.47550517218411,103.340285956483,23.0901947334923
