Class,Number,CentroidX,CentroidY,Area,ActualArea,Actual Area( Range),AspectRatio,Aspect Ratio( Range >2 and >=7),MajorAxisLength,MinorAxisLength,,CLASS,QUANTITY,ASPECT RATIO(> 1.5),AVERAGE ASPECT RATIO,Area
Alive,120,925.898153,804.7815303,1895,543.8479257,,2.846191937,2.846191937,92.72006936,32.57688568,,,,,,
Dead,121,186.6315789,793.4129555,741,212.6603234,,1.048041917,,31.51844357,30.07364788,,,,,,
Dead,122,718.527907,791.6046512,430,123.4061256,,1.047185945,,23.97535282,22.89502923,,,,,,
Alive,123,1099.715321,836.7204969,1932,554.4665923,,4.642571118,4.642571118,111.6058011,24.03965352,,,,,,
Alive,124,251.6834215,805.3011464,2268,650.8955649,,2.401570905,2.401570905,85.60550669,35.64562949,,,,,,
Alive,125,836.0897658,814.2801388,2306,661.8012225,,4.224378233,4.224378233,123.3089997,29.18985775,,,,,,
Alive,126,644.4579811,847.1084038,2011,577.1388805,,4.001742161,4.001742161,102.7729804,25.68205953,,,,,,
Alive,127,104.5708738,846.9537864,2575,739.0017987,,3.081246874,3.081246874,102.4916844,33.26305506,,,,,,
Dead,128,359.2868327,849.1188612,1405,403.2223407,,1.021625994,,42.88632819,41.97850138,,,,,,
Alive,129,876.885906,892.6605944,2086,598.6632047,,7.075352556,7.075352556,143.4847586,20.2795207,,,,,,
Alive,130,1134.082742,862.9751773,1692,485.5887547,,1.419688567,,59.39401131,41.83594394,,,,,,
Alive,131,902.7481591,901.3611929,2716,779.4675283,,4.318020344,4.318020344,126.3521994,29.26160355,,,,,,
Alive,132,255.0210098,888.503897,2951,846.9104109,,2.064085527,2.064085527,97.65444241,47.31123839,,,,,,
Alive,133,1098.461538,889.4261954,481,138.0426661,,1.536906158,,31.34952531,20.39781359,,,,,,
Dead,134,557.9257951,911.9823322,566,162.4369002,,1.168892074,,29.67332758,25.38585746,,,,,,
Alive,135,1174.729846,938.5171527,1166,334.6314941,,3.910712796,3.910712796,79.63701833,20.36381153,,,,,,
Alive,136,412.7983683,944.7459207,2574,738.7148077,,2.332569204,2.332569204,95.46884528,40.92862287,,,,,,
Dead,137,900.8926554,957.9745763,354,101.5948104,,1.177173416,,23.55457043,20.00943115,,,,,,
Alive,138,647.2379913,958.860262,458,131.4418733,,1.706484823,,32.48345817,19.03530447,,,,,,
