Class,Number,CentroidX,CentroidY,Area,ActualArea,AspectRatio,MajorAxisLength,MinorAxisLength
Alive,1,226.322297297297,14.3668918918919,1480,424.746664899797,1.87201660035082,62.6756363789353,33.4802780953918
Alive,2,399.524324324324,8.26486486486487,370,106.186666224949,1.62678774866561,28.63575194771,17.6026356057812
Dead,3,427.5,15.2885835095137,946,271.493476348113,1.15775970306705,38.5390690815387,33.2876234847732
Alive,4,457.041343669251,9.84754521963824,387,111.065513051501,1.33949680005597,26.0908394976943,19.4780902026822
Alive,5,491.384357541899,15,895,256.856935868458,1.45192416905671,41.2575303292397,28.4157611041382
Alive,6,555.831688055281,32.7216189536032,2026,581.443745329046,1.93410367123723,72.0236820860621,37.2387908451615
Alive,7,599.123040380048,24.1743467933492,2105,604.116033523022,1.32985929226367,61.2612294452549,46.065948331253
Alive,8,641.844192634561,11.3805476864967,1059,303.923458195192,2.05677264564617,53.7924207663378,26.1538001685344
Alive,9,718.12356604392,28.5447394296952,3051,875.609509871135,1.39148914722478,74.2851295044143,53.385345945795
Alive,10,832.304177545692,27.1018276762402,1532,439.670196369249,1.73574567803925,58.7743346185263,33.8611441538599
Alive,11,869.243079584775,34.7629757785467,2312,663.523168411034,1.86497005520281,79.2921874609968,42.5166008643362
Alive,12,966.1,7.50961538461539,520,149.235314694523,2.3492885590937,40.4403154219819,17.2138561972067
Alive,13,1270.16152768045,40.624737210932,2854,819.072284881094,2.30149353383717,93.0743146010693,40.4408325431577
Alive,14,773.950966608084,74.8502636203866,5690,1632.97873194584,1.26526977463866,104.012763860838,82.2059974447289
Alive,15,531.662995594714,53.9383259911894,2270,651.469546839553,2.62480241043181,87.6673914157078,33.3996155547896
Dead,16,1115.92024539877,63.1029311520109,1467,421.015782032434,1.04310949734032,44.1725138469427,42.3469577830247
Alive,17,895.625042301184,75.161421319797,2955,848.058374850608,2.02273225772996,91.2771931110585,45.1256921237294
Alive,18,395.445760829322,87.2887819326176,2701,775.162663442129,1.4606433536185,72.8586671047328,49.8812163313087
Alive,19,1173.47246474144,82.9882471457354,2978,854.659167615942,2.1282935475081,91.5977344896116,43.0381112590686
Dead,20,458.267491926803,88.8848223896663,1858,533.229259043123,1.12917126858222,51.7602876908818,45.8391823552789
Alive,21,164.198164146868,105.072354211663,1852,531.50731310434,1.92404594134565,68.7647833206822,35.7396784780457
Alive,22,522.504935459377,101.566438876234,1317,377.96713356286,1.89165347764534,57.4632544779755,30.3772626207964
Alive,23,57.1114922813036,128.299599771298,3498,1003.89448231047,1.65242383394013,90.5658672889868,54.8078921574475
Alive,24,551.098576512456,117.864412811388,2810,806.444681330019,1.86005239140608,82.4902288270992,44.3483362125848
Alive,25,318.340379403794,115.149051490515,3690,1058.99675235152,2.5812607404135,110.868726028823,42.951385845299
Alive,26,187.607875307629,123.949958982773,1219,349.842016562738,1.51603169059504,51.1484609816283,33.7383850871566
Alive,27,1118.44689047881,114.232250963126,1817,521.46262846144,1.64739047494621,62.5387018732418,37.9622820602285
Alive,28,374.17664127675,139.055495103373,2757,791.23415887077,1.58572021163518,74.769425465037,47.151713723782
Alive,29,618.085776805252,149.044638949672,2285,655.77441168651,1.94543415594097,80.7113244608936,41.4875642099823
Alive,30,1153.16201117318,146.088764742396,1611,462.342484563225,1.89339487394995,63.5215028672553,33.5489990710381
Alive,31,59.0369490630773,212.959883874373,3789,1087.40886034144,3.16829825095331,153.891125711695,48.5721714063348
Alive,32,1178.88842325825,156.457307490833,1909,547.865799522778,2.84974876150177,88.8254969673703,31.1695887607162
Alive,33,478.952629745733,167.137234413096,2871,823.951131707646,2.88021991605404,104.921575891309,36.4283210828754
Dead,34,203.450499545867,155.969118982743,1101,315.977079766673,1.17208615028299,40.8154236829828,34.8228871001746
Alive,35,438.376449054301,157.21110433191,1639,470.378232277545,1.73311650595495,61.1144606257983,35.2627537824551
Alive,36,1012.37962688777,207.715724015398,6754,1938.33714509002,1.93959260626729,140.325254879195,72.3477984117749
Alive,37,91.3882435762056,184.468848996832,2841,815.341402013731,1.91653903670935,84.486223048154,44.0827039939739
Alive,38,121.340189222542,195.120526532291,2431,697.675096196896,2.83609900596228,99.5887910092195,35.1147089011547
Alive,39,342.620295983087,185.340380549683,2365,678.733690870283,1.87737516218633,76.0264347665964,40.4961332704852
Alive,40,277.793583301121,177.605334364128,2587,742.445690605253,1.4787771984292,71.3746974668978,48.2660251610007
Dead,41,229.566666666667,195.152380952381,2730,783.485402146247,1.03093819580298,62.347021463017,60.4760030395965
Alive,42,588.64106351551,187.721811915313,2031,582.878700278032,1.62303938955921,65.7691285505035,40.5222011083572
Alive,43,547.258411843876,182.386944818304,1486,426.46861083858,1.5715833507963,55.7731430691613,35.4885046605399
Dead,44,846.476945596487,204.76579653574,4099,1176.37606717856,1.00869132632809,73.7083534603869,73.0732499987934
Alive,45,618.301943198804,212.210388639761,2676,767.9878886972,1.42568900311095,71.5881461826388,50.2130170229471
Alive,46,326.901456146292,227.643752116492,2953,847.484392871013,1.83834777954274,86.5544641747561,47.0827474202326
Alive,47,530.534061511929,229.942799655073,3479,998.441653504319,1.31319274351327,78.17988934517,59.5342075497693
Dead,48,423.515203426124,227.868950749465,2335,670.123961176368,1.15497858285549,60.2660410782604,52.1793581048601
Alive,49,175.385005636979,238.145152198422,3548,1018.24403180032,1.9400771840763,96.7143772334855,49.8507884259939
Alive,50,901.30750798722,249.396565495208,2504,718.625438452088,2.28241089648526,87.175448456908,38.1944585837509
Dead,51,103.986351228389,256.583257506824,2198,630.806195574158,1.09128058638466,55.9252026302118,51.2473174433426
Alive,52,871.59791004089,267.744207178555,2201,631.667168543549,2.30379337989423,82.6052600994486,35.8561930164245
Alive,53,518.593249232867,274.215479031708,2933,841.74457307507,2.80394961140678,103.887928800461,37.0505690893422
Alive,54,82.1443922095366,293.632639355272,2978,854.659167615942,2.92494481188455,109.159510080722,37.3201947733129
