Class,Number,CentroidX,CentroidY,Area,ActualArea,AspectRatio,MajorAxisLength,MinorAxisLength
Alive,1,34.4824233358265,18.8496634255797,1337,383.706953358803,2.93114425740843,74.5450662942371,25.4320701227261
Alive,2,151.270956316411,13.9681227863046,1694,486.162736716389,2.58376952844173,76.0631793528528,29.4388406224167
Alive,3,262.907615480649,9.4019975031211,801,229.879782827525,2.16775822051834,49.1678072345856,22.6814073493994
Alive,4,313.839805825243,18.8669902912621,1030,295.600719491075,1.28581067330122,41.4362549041434,32.2257823523576
Alive,5,532.846435100548,12.8336380255941,1094,313.968142838093,2.68097870465175,62.6105070544725,23.3536010360088
Alive,6,1068.59351620948,6.8428927680798,401,115.083386908661,2.34074309081441,35.4690981669718,15.1529222947022
Alive,7,210.81015037594,23.4135338345865,1596,458.037619716267,1.6666814624999,58.613692043924,35.1679030232975
Alive,8,247.406342913776,23.6164519326065,1009,289.573908705334,2.45830413209977,61.0892944628154,24.8501776753862
Alive,9,281.851526717557,58.4187022900763,2620,751.916393268559,3.43935993512518,111.770676529929,32.4975223989928
Alive,10,484.168299198575,14.3098842386465,1123,322.290881542211,1.75909289243492,51.2841148393229,29.1537275034611
Dead,11,793.182410423453,17.9663409337676,921,264.318701603184,1.05421605397099,35.8330632584946,33.9902462341751
Alive,12,1119.38526315789,19.24,1425,408.962160460953,1.48248486077871,52.5399356357023,35.4404534074665
Alive,13,741.875722543353,57.4104046242775,2768,794.391059758539,1.39180197162636,81.6274582407427,58.648758878649
Alive,14,466.732077764277,54.041312272175,1646,472.387169206125,2.8856942325085,84.1360688524405,29.1562660744212
Alive,15,1192.61263736264,38.7769230769231,1820,522.323601430831,1.75181930910298,64.4172674424047,36.7716391226385
Dead,16,437.705588822355,43.0199600798403,1002,287.564971776754,1.09900774849912,37.5249993038808,34.144435610329
Alive,17,102.777777777778,60.8116187253243,1773,508.835024910365,1.45772743309931,57.7072784691394,39.5871526863197
Alive,18,248.384256170781,55.5610406937959,1499,430.199493705943,1.40122046426456,54.9033847993308,39.1825456446978
Alive,19,17.1873727087576,64.2491513917176,1473,422.737727971217,1.30188490269138,50.1303148779637,38.5059499302355
Alive,20,314.101459854015,70.707299270073,1370,393.177656022109,1.92435811961177,61.964742101076,32.2002133956112
Alive,21,496.401360544218,80.9131344845631,1911,548.439781502373,2.86319628798284,86.5960902447638,30.2445524284232
Alive,22,861.49089469517,68.6223277909739,1263,362.469620113813,1.2727803018767,45.5256422879851,35.7686571836932
Alive,23,448.372604684173,82.5897799858055,1409,404.370304624198,1.72357167865388,58.3778162538379,33.8702573132505
Dead,24,613.896140350877,77.6575438596491,1425,408.962160460953,1.19069147863306,46.5373340201827,39.084292493307
Alive,25,1276.71956960323,101.529926025555,1487,426.755601828377,2.59760312498159,71.3632232958478,27.4727199892607
Alive,26,893.960261569417,112.924547283702,1988,570.538087716754,2.38074116197044,79.1396026583606,33.2415820428207
Alive,27,429.701072386059,103.55764075067,746,214.095278388681,1.43732093718781,37.3982543804524,26.0194180804351
Dead,28,700.903783783784,116.83027027027,1850,530.933331124746,1.08166331713293,50.5643364857425,46.7468348836762
Alive,29,60.9397944199706,113.247430249633,1362,390.881728103732,1.69173464406926,54.427863605299,32.1728137424552
Alive,30,406.957142857143,116.074285714286,700,200.893692858012,1.51147671584944,39.727024784128,26.2835837082689
Dead,31,1248.24482448245,118.499549954996,1111,318.846989664645,1.10733515638566,39.7430141009546,35.8906821225433
Alive,32,397.651369356033,153.649148778682,2702,775.449654431926,1.80737074195956,79.1397699663232,43.7872364142177
Alive,33,905.032740213523,165.625978647687,2810,806.444681330019,1.83374564834665,87.3515412146308,47.6355820085459
Alive,34,171.648769574944,182.598806860552,1341,384.854917317991,1.43368498707317,50.8536888828621,35.4706154708912
Alive,35,344.620615604868,174.251968503937,1397,400.926412746632,1.33260469440629,49.2048636478149,36.9238258384921
Alive,36,713.124832214765,180.11677852349,1490,427.616574797768,1.36071014406066,51.279384114472,37.6857513249977
Alive,37,407.36,193.1152,1250,358.73873724645,1.70513263422404,52.8241156346371,30.9794760679576
Dead,38,1157.52380952381,184.315873015873,630,180.804323572211,1.09478227370246,29.6951872591314,27.1242857803175
Alive,39,609.712415349887,223.58690744921,2215,635.685042400709,2.55482764979839,92.9136488395419,36.3678735224563
Alive,40,203.538838348495,200.701189643107,1429,410.110124420142,1.58916122842014,55.4989979125905,34.9234532784095
Alive,41,707.307526366251,224.070469798658,4172,1197.32640943375,4.68228418491763,170.149651519943,36.3390270219013
Dead,42,103.370930232558,195.654651162791,860,246.812251225558,1.06689710729395,34.2747683393093,32.1256549530283
Alive,43,1238.06676725764,197.359109769898,2651,760.813113952271,5.08704212240201,136.388858567707,26.8110338554276
Alive,44,374.724525043178,204.076856649396,1158,332.335566185111,1.36715154607049,45.6461759179403,33.387795266105
Alive,45,970.481580115402,210.365734576121,2253,646.590700013001,2.76570800154397,92.463404452075,33.4320920359115
Alive,46,1134.38598781549,244.340295909487,2298,659.505294553873,3.67103797876731,105.921953040731,28.8534070345679
Alive,47,431.306467661692,242.014925373134,2010,576.851889492291,3.78116485489358,99.1163718758174,26.2131844760858
Dead,48,1167.34729878721,221.065049614112,907,260.300827746024,1.18676896220045,37.3407945849182,31.4642493815162
Alive,49,283.233213429257,232.661270983213,1668,478.700970981663,1.76080877666198,62.0821592631466,35.25775205462
Alive,50,555.567908309456,248.958166189112,1745,500.799277196044,2.48524791701401,78.1768915248312,31.4563754342704
Alive,51,953.977830188679,231.882075471698,2120,608.420898369979,4.47900619567407,112.012725983229,25.0083882651053
Alive,52,141.012300123001,269.769741697417,4065,1166.61837352546,3.97755590094425,144.557185009283,36.3432189538723
Alive,53,975.231046931408,266.264139590854,1662,476.97902504288,2.67991345453117,80.03969368603,29.8665218276731
Alive,54,743.421825143586,265.46075303127,1567,449.71488101215,1.56329118131257,56.390215399692,36.0714728476531
Alive,55,795.234060057589,268.592760180995,2431,697.675096196896,2.42423869950966,89.3618837755602,36.8618336938665
Alive,56,322.532608695652,260.916666666667,1380,396.047565920081,2.15777435425336,63.2671939294317,29.3205792369905
Alive,57,207.865244789142,295.706737760543,2063,592.062411951541,3.00590575147655,107.125603768752,35.6383774561562
Dead,58,1012.33457943925,275.760747663551,1070,307.080359082961,1.12601611720304,39.2344992943842,34.8436391761784
Alive,59,162.951727192205,295.259964570416,2258,648.025654961987,2.32915659536323,84.5177159614765,36.2868328088073
Alive,60,1178.63898916968,287.835379061372,1385,397.482520869066,1.20332661744846,46.214307728337,38.4054562229581
Alive,61,727.417088607595,327.332911392405,1580,453.445763879513,2.75460411420089,79.8452414827132,28.9861040543302
Alive,62,695.212782850337,330.513695911076,2519,722.930303299046,1.40168379495591,67.3106989203884,48.0213149089775
Dead,63,922.361245303274,331.531400966184,1863,534.664213992109,1.18438683965939,53.1222529309391,44.8521134752024
Alive,64,228.012565445026,332.792670157068,955,274.076395256288,2.52822338718913,58.7939068016569,23.2550284518267
Alive,65,519.768917345751,329.105937136205,1718,493.050520471521,1.62285022652077,60.056136177271,37.0065796558597
Alive,66,152.781803542673,337.131239935588,1242,356.442809328073,3.13564262326202,74.8085213139801,23.8574768562613
Alive,67,269.898527865405,350.040483701367,1902,545.856862594198,3.28361488833559,93.2021503926853,28.3840077360375
Alive,68,291.429213483146,359.030898876404,1780,510.843961838945,3.43016774330995,91.4643281174148,26.6646808441957
