Class,Number,CentroidX,CentroidY,Area,ActualArea,AspectRatio,MajorAxisLength,MinorAxisLength
Alive,1,743.894109396914,24.0056100981767,1426,409.24915145075,1.55467824342095,53.7402593271386,34.5668047742709
Alive,2,392.35626911315,50.4505606523955,1962,563.076321982028,4.36935022219763,106.120630716953,24.2875085127826
Dead,3,308.403834979663,53.2754212667054,1721,493.911493440912,1.08951692697653,49.0156521695597,44.9884264814323
Dead,4,771.443140132062,70.1019809244314,1363,391.168719093529,1.09169175396988,43.6221310637712,39.9582857570754
Alive,5,1183.37990430622,70.9377990430622,1045,299.905584338032,1.45435643432367,44.0865968218103,30.313474593532
Alive,6,529.420736288505,72.2148760330578,1331,381.98500742002,1.49573345817852,50.4916716794697,33.7571319297475
Alive,7,802.38051948052,76.2636363636364,770,220.983062143813,1.45523869036695,38.6332207494341,26.5476866476745
Alive,8,871.579717211117,79.2871769868357,2051,588.618520073975,4.06988619674122,103.84309049353,25.5149862855325
Alive,9,186.736645299145,87.9711538461538,1872,537.247132900283,2.87448171239301,83.2719878760278,28.9693921227642
Alive,10,726.635730858469,131.117401392111,4310,1236.93116602576,3.29758425458792,141.089947863806,42.7858507837998
Alive,11,486.02435530086,98.7972779369628,1396,400.639421756835,1.28305134611242,47.8651590047213,37.3057236951198
Alive,12,1278.38062755798,121.511596180082,1466,420.728791042636,1.28333213671373,49.0280387476175,38.2037021788959
Alive,13,975.119540229885,127.841379310345,1740,499.364322247058,1.20577024243513,51.9283306505473,43.0665219815633
Alive,14,250.113881401617,133.327493261456,1484,425.894628858985,1.45909339949167,53.7112571974993,36.8113907006993
Dead,15,846.069741900055,147.548599670511,1821,522.610592420628,1.06273316127602,49.740520101448,46.8043361343167
Alive,16,442.16594157862,148.451211932878,1609,461.76850258363,2.51635857055329,73.523702195302,29.2182930746376
Alive,17,310.148535564854,146.231171548117,1912,548.72677249217,4.67105201089202,114.428603592213,24.4973944467728
Dead,18,941.325276243094,152.520718232044,1448,415.562953226288,1.13838817207181,45.9446102932456,40.3593531805839
Dead,19,1211.89536516854,167.106741573034,1424,408.675169471156,1.15980775616719,47.0534827213631,40.5700707476387
Dead,20,538.508860759494,211.75358649789,1185,340.084322909635,1.17547530771717,42.1788134325752,35.8823474688623
Dead,21,291.904522613065,222.261306532663,995,285.556034848174,1.16118889046755,38.551497532713,33.2000227087863
Alive,22,1282.66542750929,230.227695167286,1076,308.802305021744,1.66698473415856,49.8079648674123,29.87907678264
Alive,23,323.498740554156,222.285894206549,794,227.870845898945,1.22742612857234,35.3628736397868,28.8105921950012
Alive,24,624.684770224079,252.906950246867,2633,755.647276135922,3.58697887448654,113.153988153581,31.5457637507771
Alive,25,257.149405772496,234.199490662139,1178,338.075385981054,1.7729360780428,51.7476139791788,29.1875238030603
Dead,26,57.2840984697272,237.794411177645,1503,431.347457665131,1.16742006997198,47.3813357978781,40.5863639118481
Dead,27,394.775337837838,238.504222972973,1184,339.797331919837,1.08711842604023,40.5327803491892,37.2846043064762
Alive,28,881.31212484994,253.188075230092,2499,717.190483503103,1.29082156395741,64.1795339284933,49.7199115048337
Dead,29,470.592511013216,249.594713656388,908,260.587818735821,1.10851811954093,35.941460418351,32.4229796381096
Alive,30,540.733142623621,271.728238659583,2447,702.26695203365,4.84712602564807,124.419046854322,25.668622230157
Alive,31,941.569973427812,268.201948627104,2258,648.025654961987,2.34617945440793,83.0418372391224,35.3944951154977
Alive,32,461.523084025854,304.253924284395,2166,621.622483900648,3.843050986357,104.027563287421,27.0690041991957
Alive,33,351.904019688269,275.433141919606,1219,349.842016562738,1.79956436547169,53.6051644640658,29.7878561570733
Alive,34,395.482317073171,279.563414634146,1640,470.665223267342,3.29987559910783,84.1692847320021,25.5068053943484
Alive,35,1095.93761904762,290.625714285714,2100,602.681078574036,3.28431961150814,94.8326523353085,28.8743677695125
Alive,36,634.953017042837,308.627360663289,2171,623.057438849634,3.24538100863326,97.3922704584023,30.0095027977678
Dead,37,973.032304379038,299.206748025844,1393,399.778448787444,1.19166740815532,46.216268784689,38.7828587644525
Dead,38,1039.95437546746,320.284966342558,1337,383.706953358803,1.10057882401803,43.363038192927,39.4002112766588
Alive,39,376.366727941176,325.122242647059,1088,312.24619689931,2.11450743984722,54.9401620653271,25.9824869990983
Alive,40,145.370481927711,327.979668674699,1328,381.124034450628,3.07674700906768,73.1957713502295,23.7899870007217
Alive,41,337.766917293233,326.385714285714,1330,381.698016430223,2.39974251831156,67.6055300492841,28.1719932590313
Alive,42,825.860126818351,343.603133159269,2681,769.422843646186,1.60523294409211,74.2412240305382,46.2495018581415
Alive,43,227.163294797688,342.626445086705,1384,397.195529879269,1.42944355451014,50.3285244450307,35.2084727558745
Dead,44,1234.16199226306,350.95164410058,2068,593.497366900527,1.03429560992555,52.2275725706381,50.4957886985497
Alive,45,328.495681063123,351.371428571429,1505,431.921439644726,1.47448838338437,53.7155461011746,36.4299554384297
Alive,46,887.253050158156,373.99819249887,2213,635.111060421115,1.24319099290512,59.2671893846953,47.6734385327216
Dead,47,1026.8971648246,389.145122537242,2081,597.22824976789,1.18413256404462,56.1342307272438,47.4053602035121
