Class,Number,CentroidX,CentroidY,Area,ActualArea,AspectRatio,MajorAxisLength,MinorAxisLength
Alive,1,42.8796400449944,11.710911136108,889,255.134989929675,2.37640678717393,52.3557503107047,22.0314765103694
Alive,2,298.963060686016,18.5098944591029,1516,435.078340532494,1.28430275768622,51.4629244151501,40.0707108251212
Alive,3,657.998052580331,12.9084712755599,1027,294.739746521683,1.5887042212576,46.1682446880306,29.0603147334023
Alive,4,769.484514212983,33.8994484514213,2357,676.437762951906,2.46107269111451,88.5800228999775,35.9924447659706
Alive,5,1063.81936127745,13.5119760479042,1002,287.564971776754,1.41200908051372,42.9168608907073,30.3941819376212
Alive,6,900.650364963504,27.2058394160584,1370,393.177656022109,1.46556571851476,51.7992663524305,35.3442126122635
Alive,7,203.227777777778,39.0488888888889,1800,516.583781634888,1.2426213196064,53.4802562531852,43.0382574396237
Alive,8,982.553264604811,43.7878006872852,1164,334.057512123894,1.33614635893844,44.5580138318548,33.3481534667025
Alive,9,544.733896515311,45.3938753959873,947,271.78046733791,1.23308841036743,38.6553353019029,31.3483891154118
Alive,10,653.018584070796,54.2778761061947,1130,324.299818470791,1.36567481822074,44.8907831468581,32.8707702213796
Dead,11,1260.35532102023,54.8786279683377,1137,326.308755399371,1.0567250980115,39.1476042746692,37.0461573670724
Alive,12,25.4368029739777,59.6496282527881,1076,308.802305021744,2.32873928167902,57.4815915326374,24.683566762868
Alive,13,70.656768558952,76.8729257641921,2290,657.209366635496,1.2030111993537,59.8307815820542,49.7341850301953
Alive,14,261.490640096618,79.9634661835749,3312,950.514158208194,3.73470724863346,137.171620438995,36.7288816249752
Alive,15,763.130300957592,111.926812585499,2924,839.161654166896,2.76315687178561,103.067768271232,37.3007299453932
Alive,16,821.118431372549,91.1525490196078,2550,731.827023982758,1.62163041227622,75.3374253656207,46.4578271320604
Alive,17,662.799352750809,85.7459546925566,1236,354.72086338929,2.1365452080247,58.6502238170163,27.4509631702295
Dead,18,727.017367458866,108.872943327239,1094,313.968142838093,1.03929823242279,38.0974875901656,36.6569348447302
Alive,19,282.33892321271,108.82612533098,1133,325.160791440182,4.26408193484847,81.4083380986101,19.0916448938975
Alive,20,348.382352941176,111.575630252101,952,273.215422286896,1.68614682930613,46.4490030617177,27.5474248472371
Alive,21,1238.62020905923,134.101480836237,2296,658.931312574279,1.27119636186155,61.2219655004765,48.1609036473505
Dead,22,1155.67418712674,134.556735235567,1507,432.49542162432,1.13945985304007,46.7936167852479,41.0664901096804
Alive,23,424.09756097561,133.936921783011,2378,682.464573737646,4.4905964143632,121.632962768346,27.0861488196317
Dead,24,313.726907630522,138.112449799197,996,285.843025837971,1.15738026606861,38.6250541878826,33.3728294150757
Alive,25,731.661082474227,142.306701030928,776,222.705008082596,1.57209401178876,40.2644526436457,25.611987795712
Alive,26,664.851685393258,167.75393258427,1780,510.843961838945,3.64037634028703,91.7016516965328,25.1901570400006
Dead,27,1029.91140350877,162.874561403509,1140,327.169728368762,1.09569829131017,39.9341914903059,36.4463391127088
Alive,28,304.482644628099,185.670247933884,1210,347.259097654564,2.90776887863865,71.5687568888435,24.6129454836006
Alive,29,732.054093567251,206.467105263158,2736,785.20734808503,4.02383538994063,124.123887952109,30.8471584753222
Alive,30,86.1494057724958,184.537351443124,1178,338.075385981054,2.34028411491847,59.7699477973969,25.5396118002874
Dead,31,1032.96654611212,210.417721518987,1106,317.412034715659,1.13525531366401,40.7030463515317,35.8536497135288
Alive,32,261.539614561028,211.304068522484,934,268.049584470547,1.46936425977644,42.073742249813,28.6339768848158
Alive,33,24.0612440191388,211.882296650718,1045,299.905584338032,1.50447041099688,46.3694107174475,30.8210851994906
Dead,34,1230.16354088522,218.318829707427,1333,382.558989399614,1.05233540330625,42.2986708654812,40.1950468762965
Alive,35,317.709167204648,250.131536475145,6196,1778.1961727832,1.49397661210825,111.231367385901,74.4532186678174
Alive,36,1135.00805152979,217.983896940419,1242,356.442809328073,1.21616136179795,43.9704148850542,36.1550829242339
Alive,37,630.480649784998,244.412804586718,2093,600.672141645456,5.69847435997093,124.361519610055,21.823651692396
Alive,38,1087.42528735632,245.814942528736,870,249.682161123529,1.43512139154774,40.0444025065776,27.9031465508231
Alive,39,274.885745978924,301.316139767055,1803,517.444754604279,3.50425539541742,94.3068313569262,26.9120885082329
Dead,40,1089.94123931624,273.46047008547,936,268.623566450142,1.15781624321467,37.7717260902167,32.6232476971852
Dead,41,682.892327530625,277.856221792392,1551,445.123025175395,1.05307364846199,46.1890855484534,43.8612110519645
Dead,42,716.944374209861,282.690265486726,791,227.009872929553,1.05070813450221,32.5995131856639,31.0262308962788
Alive,43,918.934444444444,286.22,900,258.291890817444,1.45053253753634,41.055085476507,28.3034571194362
Dead,44,1064.54304635762,285.811920529801,755,216.678197296856,1.17552555196198,34.0247363931106,28.9442763165143
Alive,45,404.97476635514,297.760747663551,1070,307.080359082961,1.49634457705837,45.4288370727995,30.3598768420755
Alive,46,576.558872305141,317.369817578773,1206,346.111133695375,1.37189734505196,46.158094081282,33.6454431140647
Alive,47,351.757668711656,326.518404907975,978,280.677188021622,1.89051664175255,52.7485482031105,27.9016576940638
Alive,48,1114.40987460815,330.211598746082,1276,366.200502981176,1.27864395752966,45.713531251643,35.7515717979549
Alive,49,646.533136344449,347.457999155762,2369,679.881654829472,3.07334986007391,97.551798317278,31.7411953596888
Dead,50,810.311980033278,347.95840266223,1202,344.963169736186,1.10593475417886,41.1933831499198,37.2475708845095
Alive,51,862.511111111111,364.478659611993,2835,813.619456074948,3.74176354954707,119.744004724913,32.0020234147097
Alive,52,278.867924528302,353.541211519364,1007,288.99992672574,1.67007798332547,46.5245734905506,27.8577251811384
Alive,53,217.135539795114,360.419227738377,1269,364.191566052596,1.20107530979841,44.075732495885,36.696893305785
Alive,54,928.453038674033,359.220073664825,1086,311.672214919716,1.31873691005997,42.8138192322053,32.4657775979428
Alive,55,467.77466759972,373.604618614416,1429,410.110124420142,1.55497768984756,55.713422554671,35.8290816121823
Alive,56,1067.32786885246,377.361400894188,1342,385.141908307789,1.44446304891666,49.8069286999566,34.481275749706
Dead,57,1281.58122362869,373.014767932489,948,272.067458327708,1.10282397977596,36.8166083458336,33.3839388886999
Alive,58,1134.30368589744,386.967948717949,1248,358.164755266856,4.31717824791301,83.4536705654483,19.3306057274311
Alive,59,94.1010362694301,380.090155440414,1930,553.892610308519,1.99425061526009,70.262212519456,35.2323885382342
Alive,60,409.125536480687,389.263948497854,932,267.475602490953,2.31335659066208,53.0643340622914,22.9382423256695
Dead,61,943.546721311475,391.246721311475,1220,350.129007552535,1.11819881265767,41.8168311021067,37.3965976611249
Alive,62,745.885300668151,399.930400890869,1796,515.435817675699,2.07516409750397,69.227495123655,33.360010038205
Alive,63,781.253318584071,398.836283185841,904,259.439854776633,1.68672379181582,44.2602761262188,26.2403817038538
Dead,64,485.703482587065,403.062686567164,1005,288.425944746146,1.08967309388522,38.3891431855497,35.2299633724768
Dead,65,429.566978193146,402.531152647975,642,184.248215449777,1.14738997231276,31.448748719978,27.4089450656326
Alive,66,537.272907379891,420.964338781575,2019,579.434808400466,2.50318117558761,81.6716872338562,32.6271578063797
Dead,67,608.086614173228,405.601377952756,1016,291.582845633914,1.13074032727764,38.2971248638379,33.8690713862143
